7f14099a86f48a15dc165de9ae9983ef,优势,you shi,2.46,3.23
b2a30b80535917e5790a2ae74e75796d,气温,qi wen,15.46,15.74
155624f5ccdc6272c150bf583fd66ea0,气温,qi wen,12.04,12.40
155624f5ccdc6272c150bf583fd66ea0,气温,qi wen,12.98,13.20
190cc6419427439fdad41a8d0b7d20ca,他们,ta men,4.24,4.50
41c44a67d4e18269d09a139b174c0759,的,de,0.18,0.30
28ddf1c8facdbf4a2e1cd9e7e656b8af,的,de,2.44,2.56
28ddf1c8facdbf4a2e1cd9e7e656b8af,的,de,4.57,4.67
8b10dfbda8e833976078b774228d66fc,的,de,1.76,1.86
114a3e1dfaa3b5843ea342925c078b61,的,de,0.92,1.20
f6cb196bd9f63f1f0a7b7079ec47f916,的,de,2.24,2.34
1c7c76084a27c1b19cedb8408ad1cbca,的,de,8.66,8.73
886af065331c2893e5bc95c852f22b49,的,de,0.06,0.16
4e1e8d32d6857c3c088a8f3be07163a8,的,de,2.98,3.08
4e1e8d32d6857c3c088a8f3be07163a8,的,de,4.94,5.04
1a82dbd4101077682cb723ca4621b44d,的,de,1.06,1.71
edb9a8083acb14b35ad246b0eb0abf8b,的,de,0.46,0.54
edb9a8083acb14b35ad246b0eb0abf8b,的,de,8.12,8.45
edb9a8083acb14b35ad246b0eb0abf8b,的,de,9.06,9.28
edb9a8083acb14b35ad246b0eb0abf8b,的,de,12.10,12.25
481794a5f80a1f76a220305606c5c8f9,的,de,2.84,2.94
638192e6954a69152e9a8435307ec084,的,de,2.14,2.26
afe7e416472c15a1ae85bb0e7f1a043d,的,de,13.90,14.00
1fedc42da25c27f5533d5e66857ac02b,的,de,3.32,3.46
1fedc42da25c27f5533d5e66857ac02b,的,de,8.58,8.78
0e1c9bb9564bb4c3b74e805666ffbecf,的,de,1.57,1.72
2f2d0e4797f069b8788bdd3ddcc6021e,的,de,1.08,1.20
f8f9af5e17a96bbd88252656ec8a65e5,的,de,4.32,4.42
f8f9af5e17a96bbd88252656ec8a65e5,的,de,5.58,5.80
821e8b8cc45c06b3ef72491e81afd438,的,de,2.28,2.35
821e8b8cc45c06b3ef72491e81afd438,的,de,3.84,4.00
821e8b8cc45c06b3ef72491e81afd438,的,de,5.34,5.42
59c12850c5836c09aa1cefdc8f743fdb,的,de,4.58,4.68
9d436b6d3ae63673d150e2f5bb589134,的,de,32.40,32.50
9d436b6d3ae63673d150e2f5bb589134,的,de,36.68,36.76
5487af59be91c10dff6aa6a8a5863061,的,de,5.60,5.68
5487af59be91c10dff6aa6a8a5863061,的,de,9.26,9.36
5487af59be91c10dff6aa6a8a5863061,的,de,11.62,11.71
3be043fc4dc4cf9ab6f4a776e7cb1d36,的,de,4.81,4.91
2d6567f6cff74ca739ee930d498aacfd,的,de,4.70,4.82
2b8c00f3bb743148f983870612c6dab8,的,de,6.08,6.18
c4bde51dc2723ff97ded85f69b2240ba,的,de,0.04,0.18
c02aebcf1d84ab305cf60e2c15d7c062,的,de,3.24,3.36
559159646380c3cd81ede7cd83e27f87,的,de,4.42,4.54
559159646380c3cd81ede7cd83e27f87,的,de,5.68,5.80
559159646380c3cd81ede7cd83e27f87,的,de,12.82,12.92
559159646380c3cd81ede7cd83e27f87,的,de,14.70,14.80
72674a4630e4bb8167fa380fa46cbbd0,的,de,6.62,6.71
d44f34b4df007b4347711e83f1bc3c76,的,de,15.50,15.71
3992c04fa055d472daae16914c1e3155,的,de,6.77,6.87
0a6a550ef368d48690ac8fcec554a7ad,的,de,1.91,2.00
2a46bd263e1eec12a12c9f41c8e56c54,的,de,6.50,6.58
2a46bd263e1eec12a12c9f41c8e56c54,的,de,8.48,8.60
2a46bd263e1eec12a12c9f41c8e56c54,的,de,9.40,9.52
2a46bd263e1eec12a12c9f41c8e56c54,的,de,11.74,11.86
46e1b41256aeac784dd0554a4c65b435,的,de,3.74,3.82
783c04aa93456b89e12db954d964df05,的,de,7.09,7.19
783c04aa93456b89e12db954d964df05,的,de,11.84,11.93
cd875aa9cae94967fca5e4cc91b8c764,的,de,2.72,2.84
cd875aa9cae94967fca5e4cc91b8c764,的,de,5.96,6.29
0b5dad4eea0c127c60844046e280d4fa,的,de,1.82,2.08
0b5dad4eea0c127c60844046e280d4fa,的,de,4.20,4.31
0b5dad4eea0c127c60844046e280d4fa,的,de,4.75,4.83
56fec0edbdbd0e06ce0f0f376367fdab,的,de,1.80,1.90
ebf1ee38e3f2ba5a9fc9002c71c3e62f,的,de,27.07,27.17
7c0d5ace9a6cd903f6a506f14da589c7,的,de,5.02,5.10
b116c8fb8bb38b4408909e34c2ec236f,的,de,6.12,6.24
b116c8fb8bb38b4408909e34c2ec236f,的,de,15.48,15.56
b116c8fb8bb38b4408909e34c2ec236f,的,de,17.70,17.78
e81ee346c34782c19e1384a470ff5f75,的,de,12.80,12.94
1efd2b8cf9bc6d0232b6cabfae067d3d,的,de,1.52,1.66
66cf85f3977c5a2cd323ed3798e74faa,的,de,0.50,0.60
bb1f2079367595d6790d59cd14a903b9,的,de,3.44,3.56
1e08ac46878ce85eb3614d7bba73396c,的,de,3.74,3.88
1e08ac46878ce85eb3614d7bba73396c,的,de,7.50,7.58
f293aefc41d8f0b7b2b63e2ddfef2224,的,de,3.15,3.29
fb90da78ef10522d3ec5171eff0e7698,的,de,4.01,4.12
4a4cfe66d62d20a526aa82d2ca7882cf,的,de,4.57,4.65
2608dda91ef8f1073f7f635feee45519,的,de,5.00,5.08
b09840f2aa2bfaad74a3e955832a7296,的,de,4.76,4.90
3368e9b217d7b61289f4d77baf32002b,的,de,3.79,3.99
76fd52b67a97ed2f8eb34f35c9692d84,的,de,3.42,3.50
7a7bfae26e7572f4261ec6df2bbb2ec4,的,de,4.64,4.71
a30ae8080c8a10b2e6d27106beafc243,的,de,1.17,1.23
a30ae8080c8a10b2e6d27106beafc243,的,de,3.20,3.44
a30ae8080c8a10b2e6d27106beafc243,的,de,10.07,10.19
a30ae8080c8a10b2e6d27106beafc243,的,de,11.11,11.19
5664ffbd1cd1c521819c61b473954b84,的,de,1.66,1.74
987206a39e9ac804d3ae09d4fc82dc3b,的,de,4.87,5.03
1226b612f77dfa6869813be201caba76,的,de,3.89,3.98
1226b612f77dfa6869813be201caba76,的,de,6.46,6.58
1226b612f77dfa6869813be201caba76,的,de,7.96,8.05
712967d3521444d84010d291eb108bb2,的,de,4.16,4.26
0bc7dc936312395b39f4729ad20e2b71,的,de,0.74,0.80
b2a30b80535917e5790a2ae74e75796d,的,de,9.28,9.40
6cc1dcc3ce3bd9c736c2132e313c6c94,的,de,2.20,2.30
4fb35cab327257954ca463a916eb8804,的,de,0.94,1.08
155624f5ccdc6272c150bf583fd66ea0,的,de,1.92,2.00
155624f5ccdc6272c150bf583fd66ea0,的,de,5.70,5.98
155624f5ccdc6272c150bf583fd66ea0,的,de,8.98,9.06
155624f5ccdc6272c150bf583fd66ea0,的,de,14.12,14.20
155624f5ccdc6272c150bf583fd66ea0,的,de,15.20,15.28
155624f5ccdc6272c150bf583fd66ea0,的,de,17.44,17.54
fadb85bd740895e95b84e00d4e7b701f,的,de,7.58,7.68
2a1c309fdfbdd403362cf02163bffdfc,的,de,11.60,11.72
e0c35e49e6a2e5da5bb4a0f971e2f44d,的,de,6.38,6.54
4005187f8c7fec0747f90a6f77abc837,的,de,1.80,1.90
4005187f8c7fec0747f90a6f77abc837,的,de,6.28,6.36
4005187f8c7fec0747f90a6f77abc837,的,de,9.72,9.80
4005187f8c7fec0747f90a6f77abc837,的,de,10.76,10.82
4005187f8c7fec0747f90a6f77abc837,的,de,13.54,13.64
190cc6419427439fdad41a8d0b7d20ca,的,de,4.50,4.64
4b426c2eb118cac0aa84da247efb1945,的,de,2.02,2.12
42709a59805e9bec4d11871de2649cbd,的,de,4.16,4.25
42709a59805e9bec4d11871de2649cbd,的,de,14.28,14.36
42709a59805e9bec4d11871de2649cbd,的,de,15.38,15.46
d3ea276ea5611ec6aa17e82923b9e29a,的,de,4.54,4.64
d3ea276ea5611ec6aa17e82923b9e29a,的,de,6.10,6.18
d3ea276ea5611ec6aa17e82923b9e29a,的,de,14.04,14.16
9de97a1e5c11a2a3116e74cb208e1c73,的,de,0.66,0.76
9de97a1e5c11a2a3116e74cb208e1c73,的,de,2.40,2.48
9de97a1e5c11a2a3116e74cb208e1c73,的,de,3.60,3.66
e72ec6f9936e0719b19d81a7ce97c43f,的,de,3.90,4.25
56879e346820ffc0d865dec8606f05ea,的,de,4.77,5.03
6e2c82a6cd46f1d691c03c4255e17006,的,de,2.02,2.09
9a1a4a415cc220a21027c549e1a83ef7,的,de,1.96,2.06
9a1a4a415cc220a21027c549e1a83ef7,的,de,4.18,4.28
9a1a4a415cc220a21027c549e1a83ef7,的,de,6.70,6.78
9a1a4a415cc220a21027c549e1a83ef7,的,de,9.36,9.44
d3d7068e93080d7988d9efa491f37f3e,的,de,0.84,0.92
458b63757994fa7ef873d3558c3a27fe,的,de,15.28,15.42
f1e8457c13bee2f92cfa5b78463d3b73,的,de,1.14,1.49
f1e8457c13bee2f92cfa5b78463d3b73,的,de,4.14,4.22
f1e8457c13bee2f92cfa5b78463d3b73,的,de,6.76,6.88
f63f6835dc1d953c6906f49df457ac1b,的,de,2.07,2.14
f63f6835dc1d953c6906f49df457ac1b,的,de,4.70,5.05
6cf662e7c810486047bfdc343a1596c9,的,de,0.38,0.50
51d0f2cf3b754c4602e9beb5f74cb023,的,de,2.74,2.84
9ba8f87067e2d212a60a7267cafa2fdd,的,de,9.71,9.78
a1c2fdd2a2af56fa2acac5b8296ecdcd,的,de,15.69,15.79
1012923f026a461c90193ba5f24ed39d,的,de,0.62,0.82
7f14099a86f48a15dc165de9ae9983ef,的,de,2.38,2.46
7f14099a86f48a15dc165de9ae9983ef,的,de,7.99,8.07
bcbca197d9a6ffac5d449b0081c4f70a,的,de,15.40,15.54
a04bba842d8347baea683c3fb1b870df,的,de,0.82,0.92
06254121d487a2bf08d0204c0791ea6b,的,de,2.69,2.81
77e947472d75e6c5ec8358ebba2b90ef,的,de,3.74,3.85
0195db4ce76a9108885792da8e526c89,的,de,16.82,16.90
ea58953820217eb8859904e78e30700e,的,de,4.91,5.25
f6e1fa35a9ae093b72993b9e19037d62,的,de,4.09,4.19
3c3cdff5e5c983f95e5c1e66eebd3dab,的,de,4.69,4.78
b48fb381a7546f3db4302daa7731a02a,的,de,3.12,3.47
b48fb381a7546f3db4302daa7731a02a,的,de,4.44,4.52
000929523f43ef3bcf516c1639b188be,的,de,6.32,6.42
000929523f43ef3bcf516c1639b188be,的,de,12.22,12.32
d428c2414bf46414ba8454e424c32e05,的,de,1.54,1.64
e346837732e62bfdedc8c80d41186df4,的,de,3.82,3.90
e346837732e62bfdedc8c80d41186df4,的,de,5.62,5.72
e346837732e62bfdedc8c80d41186df4,的,de,7.22,7.28
e346837732e62bfdedc8c80d41186df4,的,de,15.01,15.08
a115b0a72944c10cfd04f525725fcb6b,的,de,5.88,6.00
a115b0a72944c10cfd04f525725fcb6b,的,de,13.72,13.94
db0470ba488c0bdfd8901c32b6eb196b,的,de,2.50,2.78
db0470ba488c0bdfd8901c32b6eb196b,的,de,4.70,4.78
250743bb70cfe017befacfaef488dba3,的,de,3.10,3.18
b87c938672b12a0119249dae5f434088,的,de,5.10,5.26
9a1a4a415cc220a21027c549e1a83ef7,电视,dian shi,1.56,1.84
56879e346820ffc0d865dec8606f05ea,需要,xu yao,6.18,6.62
a04bba842d8347baea683c3fb1b870df,需要,xu yao,0.44,0.82
c2753dee90c134e3740fd09ebe5acacc,集团,ji tuan,10.43,10.85
1fedc42da25c27f5533d5e66857ac02b,说,shuo,6.68,6.86
57e238eb63a7c8789956c5c637cd3693,说,shuo,3.14,3.60
1a21a5d2cfb7fdb783b0b723a537157c,说,shuo,1.78,1.96
987206a39e9ac804d3ae09d4fc82dc3b,说,shuo,4.32,4.41
3c3cdff5e5c983f95e5c1e66eebd3dab,说,shuo,0.56,0.84
6e2c82a6cd46f1d691c03c4255e17006,感受,gan shou,2.09,2.60
15b99a787470287a076340140774307e,远,yuan,1.39,1.71
f1e8457c13bee2f92cfa5b78463d3b73,远,yuan,3.01,3.38
f63f6835dc1d953c6906f49df457ac1b,远,yuan,0.93,1.30
3043203dad0fa837da96e245391ad658,为,wei,1.56,1.78
f1e8457c13bee2f92cfa5b78463d3b73,为,wei,0.30,0.58
5487af59be91c10dff6aa6a8a5863061,有所,you suo,14.26,14.54
4005187f8c7fec0747f90a6f77abc837,呀,ya,2.34,2.54
e914f60fc7902f295f8708a00ffab144,呀,ya,2.76,2.94
efd3a9d5c6d8f5be445de5ece01b0782,嘛,ma,0.36,0.63
cd875aa9cae94967fca5e4cc91b8c764,四,si,2.84,2.98
cd875aa9cae94967fca5e4cc91b8c764,四,si,5.56,5.72
f60d1955a40c843d3c95234108b8fa5a,四,si,5.66,5.88
7d70fb500aa7cc77cd3a32daaff851dc,了解,liao jie,0.64,0.94
155624f5ccdc6272c150bf583fd66ea0,以上,yi shang,13.86,14.12
42709a59805e9bec4d11871de2649cbd,事件,shi jian,10.00,10.49
b87c938672b12a0119249dae5f434088,事件,shi jian,0.36,0.78
0ed94c80b212fcd05a0a8f6c2c6a7ef5,方,fang,0.28,0.60
7903789a5b74134fa024b9fc87c73459,有,you,9.68,9.84
0e1c9bb9564bb4c3b74e805666ffbecf,有,you,0.64,0.78
e58e968e6a8e2e8b185f734ded0cc3ff,有,you,8.55,8.71
0bc6a61179a1f67098a5bc6b0c406020,有,you,0.40,0.50
1e08ac46878ce85eb3614d7bba73396c,有,you,15.46,15.60
57e238eb63a7c8789956c5c637cd3693,有,you,9.50,9.58
81eaaf89e2e5586e5bb4e00392cc81ad,有,you,3.43,3.66
a20531c5b7c86ef661c446508227c7aa,有,you,0.34,0.50
4005187f8c7fec0747f90a6f77abc837,有,you,7.24,7.36
190cc6419427439fdad41a8d0b7d20ca,有,you,1.78,2.00
42709a59805e9bec4d11871de2649cbd,有,you,13.58,13.70
9a1a4a415cc220a21027c549e1a83ef7,有,you,8.77,9.04
a1c2fdd2a2af56fa2acac5b8296ecdcd,有,you,5.32,5.44
5e9eed6515b2a609191708c92fcf8dd0,有,you,4.62,4.76
f531eeac302e91d7d8845bfa55b0b6cd,有,you,1.00,1.10
000929523f43ef3bcf516c1639b188be,有,you,1.44,1.60
f8f9af5e17a96bbd88252656ec8a65e5,类,lei,1.54,2.23
000929523f43ef3bcf516c1639b188be,双方,shuang fang,0.19,1.07
c51ffc0a510e90e281f8a23854317e92,浙江,zhe jiang,6.44,6.90
e346837732e62bfdedc8c80d41186df4,浙江,zhe jiang,2.27,2.64
b87c938672b12a0119249dae5f434088,峰会,feng hui,6.02,6.55
77e947472d75e6c5ec8358ebba2b90ef,部分,bu fen,3.96,4.36
bb1f2079367595d6790d59cd14a903b9,全部,quan bu,4.40,4.71
000929523f43ef3bcf516c1639b188be,加强,jia qiang,2.68,3.04
b116c8fb8bb38b4408909e34c2ec236f,性,xing,17.54,17.70
4e1e8d32d6857c3c088a8f3be07163a8,来,lai,6.52,6.75
0b5dad4eea0c127c60844046e280d4fa,来,lai,0.74,0.88
66cf85f3977c5a2cd323ed3798e74faa,来,lai,1.18,1.36
2608dda91ef8f1073f7f635feee45519,来,lai,7.86,8.00
9ba8f87067e2d212a60a7267cafa2fdd,来,lai,8.92,9.08
cf514b56342e39ebc8a56b70820e9c47,来,lai,3.90,4.04
ced150b2fda715054da454c58b079f5a,来,lai,3.16,3.30
b87c938672b12a0119249dae5f434088,来,lai,3.50,3.72
821e8b8cc45c06b3ef72491e81afd438,安全,an quan,2.10,2.28
ced150b2fda715054da454c58b079f5a,一次,yi ci,1.66,1.86
6fa2edaa12fdb29a7f8bd3cbbc155f9c,一次,yi ci,5.18,5.61
a115b0a72944c10cfd04f525725fcb6b,一次,yi ci,9.78,10.02
e914f60fc7902f295f8708a00ffab144,明天,ming tian,1.22,1.50
1a82dbd4101077682cb723ca4621b44d,都是,dou shi,0.24,0.46
6c5f5cdc798c5ea2f8cb9a317e518280,莹,ying,8.21,8.59
ee2821017b4f8fcd81b350783ee7c737,莹,ying,0.66,0.89
ee2821017b4f8fcd81b350783ee7c737,莹,ying,1.24,1.38
ab9d0d3927685afb84d94acf1db0df29,比较,bi jiao,4.69,4.94
d44f34b4df007b4347711e83f1bc3c76,中心,zhong xin,13.11,13.59
213443c0e19167009c14340b62b7f70f,中心,zhong xin,9.09,9.51
3cf701b5445b32d9f0d3ffc39d79e52d,最,zui,3.34,3.46
7f08d69e99cca3d4fcd60e051a4b74ff,最,zui,1.40,1.68
e346837732e62bfdedc8c80d41186df4,最,zui,14.54,14.72
2b8c00f3bb743148f983870612c6dab8,生命,sheng ming,5.64,6.08
db0470ba488c0bdfd8901c32b6eb196b,中央,zhong yang,1.14,1.46
06254121d487a2bf08d0204c0791ea6b,开始,kai shi,3.39,3.66
704355f1f437ddc7cb17882f3e5fe597,像,xiang,3.48,3.62
26b9cc70c3d8326cb4f42dd773bae9ba,知道,zhi dao,4.26,4.84
0c846b26aa220c0837d74d6420eb08bd,才,cai,13.29,13.49
6b6c4f1c5b9c3afa877b65c9916d260a,怎么,zen me,0.74,1.02
a115b0a72944c10cfd04f525725fcb6b,怎么,zen me,12.86,13.18
6fa2edaa12fdb29a7f8bd3cbbc155f9c,十,shi,6.02,6.20
5e9eed6515b2a609191708c92fcf8dd0,贡献,gong xian,9.20,9.74
4d6b1271611f0906a90ebbb593acc682,号,hao,0.02,0.34
f8f9af5e17a96bbd88252656ec8a65e5,问题,wen ti,5.24,5.58
3be043fc4dc4cf9ab6f4a776e7cb1d36,问题,wen ti,5.73,5.99
000929523f43ef3bcf516c1639b188be,问题,wen ti,6.04,6.32
5487af59be91c10dff6aa6a8a5863061,河北,he bei,9.87,10.26
1f7760551389f7e321671a086167e282,河北,he bei,4.62,4.98
155624f5ccdc6272c150bf583fd66ea0,河北,he bei,16.50,17.04
d3ea276ea5611ec6aa17e82923b9e29a,河北,he bei,14.52,14.94
a1c2fdd2a2af56fa2acac5b8296ecdcd,河北,he bei,14.62,15.17
41c5faa24ce4617332a21b83ab43ce09,过,guo,4.64,4.84
188844c557a37fb9c923f869d4ed160d,过,guo,0.30,0.42
41c5faa24ce4617332a21b83ab43ce09,那个,na ge,3.44,3.62
a30ae8080c8a10b2e6d27106beafc243,那个,na ge,2.41,2.66
1012923f026a461c90193ba5f24ed39d,那个,na ge,0.16,0.52
3c3cdff5e5c983f95e5c1e66eebd3dab,那个,na ge,2.25,2.52
821e8b8cc45c06b3ef72491e81afd438,个,ge,4.78,4.86
17cb12b9364f52a78852be6b661c6a9f,个,ge,0.22,0.30
46e1b41256aeac784dd0554a4c65b435,个,ge,0.28,0.44
cd875aa9cae94967fca5e4cc91b8c764,个,ge,2.98,3.08
cd875aa9cae94967fca5e4cc91b8c764,个,ge,5.72,5.80
6b6c4f1c5b9c3afa877b65c9916d260a,个,ge,0.42,0.52
0356b5194617287ddef5b2043157d24c,个,ge,0.74,0.82
b87c938672b12a0119249dae5f434088,个,ge,2.02,2.10
a58ab303e2cdfbab93463e8dd6e62629,首先,shou xian,0.96,1.26
155624f5ccdc6272c150bf583fd66ea0,这些,zhei xie,17.54,17.76
4005187f8c7fec0747f90a6f77abc837,这些,zhei xie,9.16,9.44
4005187f8c7fec0747f90a6f77abc837,这些,zhei xie,13.64,13.90
8b1294a59dc78293dfaff6cd9154dad0,推进,tui jin,1.29,1.78
afe7e416472c15a1ae85bb0e7f1a043d,但是,dan shi,4.53,4.94
f8f9af5e17a96bbd88252656ec8a65e5,但是,dan shi,2.23,2.56
3be043fc4dc4cf9ab6f4a776e7cb1d36,但是,dan shi,2.72,3.05
1226b612f77dfa6869813be201caba76,但是,dan shi,15.76,16.08
114a3e1dfaa3b5843ea342925c078b61,就是,jiu shi,0.36,0.62
5136e940c45a7faa11a53c81346a7f7e,就是,jiu shi,1.02,1.39
1fedc42da25c27f5533d5e66857ac02b,就是,jiu shi,3.62,3.86
7d70fb500aa7cc77cd3a32daaff851dc,就是,jiu shi,3.43,3.63
cc544443bb10e23ab01a30005ac9fd9a,就是,jiu shi,0.44,0.64
0a6a550ef368d48690ac8fcec554a7ad,就是,jiu shi,0.26,1.05
2608dda91ef8f1073f7f635feee45519,就是,jiu shi,7.47,7.74
2608dda91ef8f1073f7f635feee45519,就是,jiu shi,9.72,10.00
b09840f2aa2bfaad74a3e955832a7296,就是,jiu shi,7.89,8.47
92096578da8262840803ba3eb39962f2,就是,jiu shi,0.12,0.44
6cc1dcc3ce3bd9c736c2132e313c6c94,就是,jiu shi,3.27,3.66
bfbcfad13915f02d0648a01b8c2308b0,就是,jiu shi,5.29,5.49
db0470ba488c0bdfd8901c32b6eb196b,就是,jiu shi,2.78,3.14
afe7e416472c15a1ae85bb0e7f1a043d,热,re,11.64,11.76
1e08ac46878ce85eb3614d7bba73396c,度,du,11.48,11.73
155624f5ccdc6272c150bf583fd66ea0,度,du,13.70,13.86
1e08ac46878ce85eb3614d7bba73396c,很多,hen duo,7.00,7.22
155624f5ccdc6272c150bf583fd66ea0,很多,hen duo,2.26,2.56
95084465d61995f6859646ed8c971e44,无,wu,2.32,2.44
e4579ef732dd85803549dc864a538541,里面,li mian,1.24,1.56
95084465d61995f6859646ed8c971e44,里面,li mian,1.30,1.62
5136e940c45a7faa11a53c81346a7f7e,做,zuo,4.10,4.26
66cf85f3977c5a2cd323ed3798e74faa,做,zuo,1.36,1.56
5e9eed6515b2a609191708c92fcf8dd0,做,zuo,8.96,9.12
b116c8fb8bb38b4408909e34c2ec236f,普遍,pu bian,6.24,6.59
b2a30b80535917e5790a2ae74e75796d,普遍,pu bian,15.94,16.24
e914f60fc7902f295f8708a00ffab144,及,ji,4.30,4.46
f8f9af5e17a96bbd88252656ec8a65e5,钱,qian,4.18,4.32
3be043fc4dc4cf9ab6f4a776e7cb1d36,钱,qian,4.67,4.81
b09840f2aa2bfaad74a3e955832a7296,钱,qian,12.99,13.31
4e1e8d32d6857c3c088a8f3be07163a8,行政,xing zheng,5.04,5.36
b2a30b80535917e5790a2ae74e75796d,江,jiang,3.20,3.40
e0c35e49e6a2e5da5bb4a0f971e2f44d,甚至,shen zhi,16.50,16.74
cd875aa9cae94967fca5e4cc91b8c764,进行,jin xing,7.18,7.36
481794a5f80a1f76a220305606c5c8f9,南部,nan bu,5.78,6.14
481794a5f80a1f76a220305606c5c8f9,南部,nan bu,6.62,6.92
559159646380c3cd81ede7cd83e27f87,南部,nan bu,15.68,16.00
2a46bd263e1eec12a12c9f41c8e56c54,南部,nan bu,8.60,9.02
2a46bd263e1eec12a12c9f41c8e56c54,南部,nan bu,13.78,14.10
b116c8fb8bb38b4408909e34c2ec236f,南部,nan bu,15.56,16.10
1226b612f77dfa6869813be201caba76,南部,nan bu,7.66,7.96
b2a30b80535917e5790a2ae74e75796d,南部,nan bu,4.22,4.50
e0c35e49e6a2e5da5bb4a0f971e2f44d,南部,nan bu,7.14,7.75
4005187f8c7fec0747f90a6f77abc837,南部,nan bu,4.04,4.30
d3ea276ea5611ec6aa17e82923b9e29a,南部,nan bu,2.18,2.50
d3ea276ea5611ec6aa17e82923b9e29a,南部,nan bu,2.88,3.12
d3ea276ea5611ec6aa17e82923b9e29a,南部,nan bu,3.63,4.11
d3ea276ea5611ec6aa17e82923b9e29a,南部,nan bu,5.14,5.42
d3ea276ea5611ec6aa17e82923b9e29a,南部,nan bu,6.72,7.00
a1c2fdd2a2af56fa2acac5b8296ecdcd,南部,nan bu,8.00,8.24
a1c2fdd2a2af56fa2acac5b8296ecdcd,南部,nan bu,8.94,9.32
e346837732e62bfdedc8c80d41186df4,南部,nan bu,2.64,2.94
e346837732e62bfdedc8c80d41186df4,南部,nan bu,4.10,4.40
e346837732e62bfdedc8c80d41186df4,南部,nan bu,4.72,5.19
e346837732e62bfdedc8c80d41186df4,南部,nan bu,6.10,6.42
d44f34b4df007b4347711e83f1bc3c76,当中,dang zhong,18.32,18.77
42709a59805e9bec4d11871de2649cbd,当中,dang zhong,2.11,2.42
5e9eed6515b2a609191708c92fcf8dd0,当中,dang zhong,3.98,4.30
bb40844fc1be6f57d8922d1c42a50602,真的,zhen de,0.30,0.58
51d0f2cf3b754c4602e9beb5f74cb023,真的,zhen de,0.72,0.98
4b426c2eb118cac0aa84da247efb1945,东西,dong xi,4.70,5.08
a115b0a72944c10cfd04f525725fcb6b,东西,dong xi,6.00,6.74
42709a59805e9bec4d11871de2649cbd,目前,mu qian,3.04,3.48
42709a59805e9bec4d11871de2649cbd,目前,mu qian,10.49,10.94
5136e940c45a7faa11a53c81346a7f7e,最后,zui hou,0.35,0.57
1a21a5d2cfb7fdb783b0b723a537157c,比如,bi ru,1.33,1.78
2a46bd263e1eec12a12c9f41c8e56c54,大,da,14.90,15.10
7c0d5ace9a6cd903f6a506f14da589c7,大,da,5.26,5.38
1e08ac46878ce85eb3614d7bba73396c,大,da,4.82,5.02
1e08ac46878ce85eb3614d7bba73396c,大,da,15.60,15.86
c51ffc0a510e90e281f8a23854317e92,大,da,9.12,9.48
4005187f8c7fec0747f90a6f77abc837,大,da,7.36,7.56
4005187f8c7fec0747f90a6f77abc837,大,da,9.56,9.72
42709a59805e9bec4d11871de2649cbd,大,da,1.72,1.88
3a918de127530bc1e83c8828abdc65b5,大,da,2.37,2.73
250743bb70cfe017befacfaef488dba3,大,da,0.80,0.98
56b198d0ed123c5285e5f7e6cc086723,局,ju,10.60,10.78
b116c8fb8bb38b4408909e34c2ec236f,局,ju,17.22,17.40
80b5e294825ee7c1ce88ee56c3989024,统计,tong ji,2.42,2.71
481794a5f80a1f76a220305606c5c8f9,华北,hua bei,15.28,15.70
559159646380c3cd81ede7cd83e27f87,华北,hua bei,6.29,6.76
56fec0edbdbd0e06ce0f0f376367fdab,华北,hua bei,13.13,13.60
b116c8fb8bb38b4408909e34c2ec236f,华北,hua bei,4.94,5.32
1e08ac46878ce85eb3614d7bba73396c,华北,hua bei,14.19,14.60
1f7760551389f7e321671a086167e282,华北,hua bei,14.54,14.94
0bb75f27d902d5ee86c507521cc8d081,华北,hua bei,15.81,16.26
77e947472d75e6c5ec8358ebba2b90ef,想,xiang,1.00,1.32
b48fb381a7546f3db4302daa7731a02a,想,xiang,0.56,0.78
f8f9af5e17a96bbd88252656ec8a65e5,块,kuai,4.04,4.18
3be043fc4dc4cf9ab6f4a776e7cb1d36,块,kuai,4.53,4.67
b09840f2aa2bfaad74a3e955832a7296,块,kuai,12.41,12.63
4e1e8d32d6857c3c088a8f3be07163a8,市,shi,4.24,4.46
a115b0a72944c10cfd04f525725fcb6b,生活,sheng huo,13.18,13.72
6759f266e6730353c3e01c873d6c528b,因为,yin wei,1.35,2.00
a20531c5b7c86ef661c446508227c7aa,教育,jiao yu,6.44,7.23
4005187f8c7fec0747f90a6f77abc837,包括,bao kuo,8.80,9.16
4e1e8d32d6857c3c088a8f3be07163a8,对,dui,3.88,4.01
edb9a8083acb14b35ad246b0eb0abf8b,对,dui,0.12,0.28
7d70fb500aa7cc77cd3a32daaff851dc,对,dui,3.63,3.73
cd875aa9cae94967fca5e4cc91b8c764,对,dui,4.86,5.06
a20531c5b7c86ef661c446508227c7aa,对,dui,7.23,7.52
9de97a1e5c11a2a3116e74cb208e1c73,对,dui,0.12,0.28
9de97a1e5c11a2a3116e74cb208e1c73,对,dui,1.48,1.68
46d1eb080fd571d416ab63f40087b2ab,对,dui,0.22,0.34
9a1a4a415cc220a21027c549e1a83ef7,对,dui,6.22,6.34
5e9eed6515b2a609191708c92fcf8dd0,对,dui,2.70,2.87
3c3cdff5e5c983f95e5c1e66eebd3dab,对,dui,3.74,3.88
