7bb47452d9c2e1846a8aafee92d73c4c,批,pi,10.28,10.46
9781c28c3120425123fae15a31104ded,的,de,1.58,1.68
9781c28c3120425123fae15a31104ded,的,de,3.18,3.32
9781c28c3120425123fae15a31104ded,的,de,4.46,4.56
9781c28c3120425123fae15a31104ded,的,de,7.88,7.98
9781c28c3120425123fae15a31104ded,的,de,9.22,9.32
c97af27504764153574b57f9991f0f4d,的,de,3.96,4.06
bde99f58ae649cb90c91f295987479f6,的,de,1.32,1.42
ac208e750e7ba20fdd26d6691e70420f,的,de,2.02,2.59
ac208e750e7ba20fdd26d6691e70420f,的,de,3.16,3.26
46e1b41256aeac784dd0554a4c65b435,的,de,3.74,3.82
d3fa93f2de6458a63ebf829b2152caa6,的,de,0.56,0.66
abccca0f8bce9bfffa5e0fd1e01742e5,的,de,1.62,1.80
abccca0f8bce9bfffa5e0fd1e01742e5,的,de,2.68,2.80
abccca0f8bce9bfffa5e0fd1e01742e5,的,de,8.04,8.50
abccca0f8bce9bfffa5e0fd1e01742e5,的,de,9.38,9.50
abccca0f8bce9bfffa5e0fd1e01742e5,的,de,10.72,10.82
293c4016c45981c785c61a88fbf93993,的,de,11.93,12.01
783c04aa93456b89e12db954d964df05,的,de,2.79,2.91
783c04aa93456b89e12db954d964df05,的,de,5.63,5.75
783c04aa93456b89e12db954d964df05,的,de,7.09,7.19
783c04aa93456b89e12db954d964df05,的,de,8.73,8.81
783c04aa93456b89e12db954d964df05,的,de,11.84,11.93
cd875aa9cae94967fca5e4cc91b8c764,的,de,2.72,2.84
cd875aa9cae94967fca5e4cc91b8c764,的,de,5.96,6.29
0b5dad4eea0c127c60844046e280d4fa,的,de,1.82,2.08
0b5dad4eea0c127c60844046e280d4fa,的,de,4.20,4.31
0b5dad4eea0c127c60844046e280d4fa,的,de,4.75,4.83
f2fe3c21de7cd3fcedc7c3cf94feb11a,的,de,1.84,1.94
f2fe3c21de7cd3fcedc7c3cf94feb11a,的,de,3.36,3.48
f2fe3c21de7cd3fcedc7c3cf94feb11a,的,de,5.21,5.31
f2fe3c21de7cd3fcedc7c3cf94feb11a,的,de,6.83,6.91
f2fe3c21de7cd3fcedc7c3cf94feb11a,的,de,10.12,10.22
5c9ca8c01ca81b4c06dd58cdcf1dfec3,的,de,7.69,7.81
5c9ca8c01ca81b4c06dd58cdcf1dfec3,的,de,12.65,13.06
6053b294af3b770c0fdb169a0c706b7e,的,de,5.60,5.68
6053b294af3b770c0fdb169a0c706b7e,的,de,6.26,6.34
6053b294af3b770c0fdb169a0c706b7e,的,de,8.00,8.51
4f036c27e52339b63337d88233c8ab52,的,de,2.16,2.28
56fec0edbdbd0e06ce0f0f376367fdab,的,de,1.80,1.90
6dd94ccc0025e9c8c3c712bdc017bdbc,的,de,4.62,4.75
dd6ac60b95218b193c22d5f6084f3155,的,de,4.56,4.82
c682e681827ddce09e7ecb04c33fa7c6,的,de,4.66,5.23
6599b473510b12b02f06c215d89ee209,的,de,2.56,2.64
b5398b5390dec09afe7b1b64adb89089,的,de,12.14,12.22
1b371fa384837ee3912a9bb4ef93428a,的,de,7.02,7.31
1b371fa384837ee3912a9bb4ef93428a,的,de,15.23,15.33
1b371fa384837ee3912a9bb4ef93428a,的,de,16.99,17.09
1b371fa384837ee3912a9bb4ef93428a,的,de,23.76,23.90
29b3a78dd94fa9efbd453f0103f45d86,的,de,0.42,0.50
29b3a78dd94fa9efbd453f0103f45d86,的,de,4.34,4.44
29b3a78dd94fa9efbd453f0103f45d86,的,de,5.52,5.70
f42a7f5d44569c78045dc658fa7d4ce1,的,de,1.65,1.81
f42a7f5d44569c78045dc658fa7d4ce1,的,de,16.08,16.26
ebf1ee38e3f2ba5a9fc9002c71c3e62f,的,de,27.07,27.17
89e669192ce7aa8c3bb2c4e97da94f74,的,de,5.76,6.02
89e669192ce7aa8c3bb2c4e97da94f74,的,de,6.46,6.63
89e669192ce7aa8c3bb2c4e97da94f74,的,de,7.10,7.32
4fddaa9deb63ce77ac6b4b023af257ab,的,de,4.78,4.85
7c0d5ace9a6cd903f6a506f14da589c7,的,de,5.02,5.10
9fe2bb753faaf47cc90687f18aab6c8d,的,de,0.13,0.27
9f366046cf547a4c73dcb9b815bde871,的,de,3.19,3.31
bf1d4c21e143f4e055f6e0d2e252d029,的,de,4.20,4.42
bf1d4c21e143f4e055f6e0d2e252d029,的,de,7.24,7.32
bf1d4c21e143f4e055f6e0d2e252d029,的,de,12.44,12.79
b116c8fb8bb38b4408909e34c2ec236f,的,de,6.12,6.24
b116c8fb8bb38b4408909e34c2ec236f,的,de,15.48,15.56
b116c8fb8bb38b4408909e34c2ec236f,的,de,17.70,17.78
e81ee346c34782c19e1384a470ff5f75,的,de,12.80,12.94
1efd2b8cf9bc6d0232b6cabfae067d3d,的,de,1.52,1.66
3043203dad0fa837da96e245391ad658,的,de,2.37,2.45
3043203dad0fa837da96e245391ad658,的,de,4.42,4.49
a1c24741119e207587417cd186799e0c,的,de,2.52,2.65
66cf85f3977c5a2cd323ed3798e74faa,的,de,0.50,0.60
4b77d27271f0f1e1b468ccfdfd9306e5,的,de,3.50,3.59
4b77d27271f0f1e1b468ccfdfd9306e5,的,de,7.53,7.61
bb1f2079367595d6790d59cd14a903b9,的,de,3.44,3.56
1a946977b3483ecb8a62fcf358a5e2f1,的,de,1.42,1.50
1a946977b3483ecb8a62fcf358a5e2f1,的,de,3.90,4.18
1f03e32556a71757d5c559b55143194d,的,de,2.66,2.81
acad87ed8cd0163b8d5a412b8b0e2a71,的,de,4.66,4.74
acad87ed8cd0163b8d5a412b8b0e2a71,的,de,7.49,7.59
246742ce4f48342dc89125977cc2a213,的,de,0.66,0.76
246742ce4f48342dc89125977cc2a213,的,de,1.01,1.14
246742ce4f48342dc89125977cc2a213,的,de,2.92,3.33
925c66a59dca0bf21cd7e7ec24f2d8db,的,de,5.66,6.10
5ecc9347e346f2aaad5c63c1193be2c7,的,de,6.00,6.10
5ecc9347e346f2aaad5c63c1193be2c7,的,de,6.50,6.58
017a3af479cb78225497cf52224deed2,的,de,15.98,16.10
017a3af479cb78225497cf52224deed2,的,de,20.34,20.48
c237e48fd8ddc6c1900de36f41f95214,的,de,1.24,1.32
c237e48fd8ddc6c1900de36f41f95214,的,de,2.12,2.20
bbc35fdbd2517bc278a6763890687b84,的,de,1.12,1.26
bbc35fdbd2517bc278a6763890687b84,的,de,2.28,2.40
bbc35fdbd2517bc278a6763890687b84,的,de,6.55,6.65
bbc35fdbd2517bc278a6763890687b84,的,de,6.94,7.03
bbc35fdbd2517bc278a6763890687b84,的,de,7.40,7.51
bbc35fdbd2517bc278a6763890687b84,的,de,8.89,8.99
bbc35fdbd2517bc278a6763890687b84,的,de,12.29,12.37
1116fcb8d070f6d3dc0d220bb6de7638,的,de,0.84,0.94
c038725f9e8369eb5e7b39348bdce105,的,de,1.70,1.80
1e08ac46878ce85eb3614d7bba73396c,的,de,3.74,3.88
1e08ac46878ce85eb3614d7bba73396c,的,de,7.50,7.58
92b798744beb7102755da6e525c8cb20,的,de,1.42,1.54
75d7c60e3e112ed6d1e85ff1c2afc506,的,de,1.38,1.44
f293aefc41d8f0b7b2b63e2ddfef2224,的,de,3.15,3.29
1c4993c027fd980788a85796b2be45c8,的,de,0.72,0.91
1c4993c027fd980788a85796b2be45c8,的,de,10.57,10.81
04169dbcb72ed062e0a93d03bdaa9e4c,的,de,1.68,1.78
04169dbcb72ed062e0a93d03bdaa9e4c,的,de,3.84,3.94
04169dbcb72ed062e0a93d03bdaa9e4c,的,de,4.98,5.06
04169dbcb72ed062e0a93d03bdaa9e4c,的,de,5.92,6.00
04169dbcb72ed062e0a93d03bdaa9e4c,的,de,6.98,7.06
04169dbcb72ed062e0a93d03bdaa9e4c,的,de,8.98,9.05
e7e6b97bdac7fdddd32726e3490793d4,的,de,10.92,11.04
29ed0c8169fec681cfb7ba6acd5c1597,的,de,3.08,3.22
29ed0c8169fec681cfb7ba6acd5c1597,的,de,4.40,4.46
29ed0c8169fec681cfb7ba6acd5c1597,的,de,6.96,7.06
29ed0c8169fec681cfb7ba6acd5c1597,的,de,10.08,10.16
29ed0c8169fec681cfb7ba6acd5c1597,的,de,12.07,12.14
29ed0c8169fec681cfb7ba6acd5c1597,的,de,13.08,13.16
b2b0c4ec9bd61d66ae3c0117d3a3665b,的,de,1.76,1.90
b2b0c4ec9bd61d66ae3c0117d3a3665b,的,de,4.38,4.50
b2b0c4ec9bd61d66ae3c0117d3a3665b,的,de,5.05,5.14
b02a82800644933dfb30b895759ba53a,的,de,0.26,0.36
b02a82800644933dfb30b895759ba53a,的,de,2.45,2.53
3cf701b5445b32d9f0d3ffc39d79e52d,的,de,3.62,3.72
57e238eb63a7c8789956c5c637cd3693,的,de,4.58,4.65
ba35e52cfd5a84c926ed5f577617d850,的,de,0.76,0.86
4e626dae857c3d4106538a287c3c56ce,的,de,0.64,0.76
fb90da78ef10522d3ec5171eff0e7698,的,de,1.04,1.14
fb90da78ef10522d3ec5171eff0e7698,的,de,4.01,4.12
fb90da78ef10522d3ec5171eff0e7698,的,de,6.96,7.06
fb90da78ef10522d3ec5171eff0e7698,的,de,10.20,10.30
bb40844fc1be6f57d8922d1c42a50602,的,de,5.37,5.45
fcf3aca0b2525bae8f8b212fa3f6413d,的,de,0.84,0.94
fcf3aca0b2525bae8f8b212fa3f6413d,的,de,1.28,1.38
fcf3aca0b2525bae8f8b212fa3f6413d,的,de,6.00,6.08
fcf3aca0b2525bae8f8b212fa3f6413d,的,de,6.40,6.50
17b6ddcde23fef2d7b4fe478c71f546e,的,de,7.31,7.47
1f6d1c449bad10b00d2f0ded035e1872,的,de,0.94,1.08
1f6d1c449bad10b00d2f0ded035e1872,的,de,3.04,3.12
54af87d7f3038a52e833f8523de721b7,的,de,3.48,3.68
56c88d57b6753a32a0b6df3aca2e9429,的,de,3.38,3.48
8d1510081cb09a294a587ac123f1719f,的,de,1.28,1.38
8d1510081cb09a294a587ac123f1719f,的,de,2.34,2.58
8d1510081cb09a294a587ac123f1719f,的,de,2.94,3.01
8d1510081cb09a294a587ac123f1719f,的,de,6.14,6.22
8d1510081cb09a294a587ac123f1719f,的,de,7.72,7.80
996b7556e6fc72f8416c3dd3efb9c8b9,的,de,3.28,3.36
16a0d6fcd2036543c98f98d5d2f81651,的,de,5.53,5.60
b3376ec6f625b1aa02d29387c6f77fdf,的,de,2.84,3.00
4a4cfe66d62d20a526aa82d2ca7882cf,的,de,3.37,3.49
4a4cfe66d62d20a526aa82d2ca7882cf,的,de,4.57,4.65
4a4cfe66d62d20a526aa82d2ca7882cf,的,de,6.25,6.35
75edf045a277ed5730f00136728514c8,的,de,0.30,0.40
96fc9aed40395c90412706de3db78078,的,de,0.95,1.02
96fc9aed40395c90412706de3db78078,的,de,2.54,2.62
e8e748c09e6e60abce6554f6b4b1fe0c,的,de,0.18,0.28
e8e748c09e6e60abce6554f6b4b1fe0c,的,de,6.04,6.12
dc5f3c82f7f6310bb8b4f4d0ad007351,的,de,2.34,2.41
14e0ca23844f5901eeb944c28fefed2c,的,de,1.32,1.46
d655caab451c7b4494e23563ba11cecb,的,de,1.36,1.77
5ebc1e131936a6e5a08c70afc3735bdb,的,de,0.55,0.68
543309b025fc8167f17fa736a8809245,的,de,0.06,0.15
543309b025fc8167f17fa736a8809245,的,de,3.22,3.32
2608dda91ef8f1073f7f635feee45519,的,de,5.00,5.08
2576c1fe2c38681d12a97305bda92d13,的,de,5.78,5.90
2576c1fe2c38681d12a97305bda92d13,的,de,7.78,7.88
ad6930a96cd6b4d228bb2618662d3a24,的,de,4.34,4.66
b09840f2aa2bfaad74a3e955832a7296,的,de,4.76,4.90
cb0f0c5f563146770ca57e1f3a0b8576,的,de,3.33,3.60
1a21a5d2cfb7fdb783b0b723a537157c,的,de,0.26,0.38
ecfb1154bd62d1f6ab2aacca65d5ade2,的,de,0.30,0.42
ecfb1154bd62d1f6ab2aacca65d5ade2,的,de,3.36,3.46
8013c0cb175a15d630b4fb607a345dc3,的,de,0.18,0.26
8013c0cb175a15d630b4fb607a345dc3,的,de,3.97,4.11
8013c0cb175a15d630b4fb607a345dc3,的,de,4.55,4.63
8013c0cb175a15d630b4fb607a345dc3,的,de,6.59,6.67
8013c0cb175a15d630b4fb607a345dc3,的,de,8.01,8.13
c46d5216f1e5c32fb086190a424ea1ef,的,de,4.24,4.38
c46d5216f1e5c32fb086190a424ea1ef,的,de,6.52,6.58
55a72a084887622760496c2f60197565,的,de,3.46,3.58
d7cf6b69cd8199bccb0a43920b037e7f,的,de,14.02,14.10
2848d4a8d2414745bbc05dd7ef93de29,的,de,4.42,4.48
a5ac060e8bcdd1164e52b682aa9ad627,的,de,4.02,4.14
81eaaf89e2e5586e5bb4e00392cc81ad,的,de,0.34,0.50
51070bd7370157c7aa2a282a1d478e49,的,de,3.29,3.39
51070bd7370157c7aa2a282a1d478e49,的,de,5.77,5.87
972037da251ef5cae5997a94934059e8,的,de,1.78,1.86
593f4ab979b03838d82279fc6958706b,的,de,2.54,2.74
edb6247997958e9f22289458016f58ee,的,de,1.58,1.68
edb6247997958e9f22289458016f58ee,的,de,7.90,7.98
c2d118c3f5dc18c95a95c5556c243fe1,的,de,7.20,7.34
3368e9b217d7b61289f4d77baf32002b,的,de,3.79,3.99
76fd52b67a97ed2f8eb34f35c9692d84,的,de,3.42,3.50
eac0f1ed29ba7dc1fa1f6c411bde5195,的,de,1.60,1.83
eac0f1ed29ba7dc1fa1f6c411bde5195,的,de,2.72,2.82
1bc92e2aaaf8f599420d71046b003961,的,de,1.34,1.44
1bc92e2aaaf8f599420d71046b003961,的,de,3.80,3.88
7a7bfae26e7572f4261ec6df2bbb2ec4,的,de,4.64,4.71
fc038790f7fa159c1968ae337954c840,的,de,1.12,1.47
a30ae8080c8a10b2e6d27106beafc243,的,de,1.17,1.23
a30ae8080c8a10b2e6d27106beafc243,的,de,3.20,3.44
a30ae8080c8a10b2e6d27106beafc243,的,de,10.07,10.19
a30ae8080c8a10b2e6d27106beafc243,的,de,11.11,11.19
ab010a03ea7e548831686ce0c2af6e51,的,de,4.46,4.56
87aa22ee28fd93d383d611d6abee03c6,的,de,3.04,3.14
87aa22ee28fd93d383d611d6abee03c6,的,de,4.90,4.98
87aa22ee28fd93d383d611d6abee03c6,的,de,5.34,5.48
87aa22ee28fd93d383d611d6abee03c6,的,de,7.22,7.30
89fe248485c62466fd6580545ee19259,的,de,7.65,7.73
face8800426af6450685ec01e19b2ed2,的,de,3.10,3.18
0cb85ef8d996ba7e94a24f649f57bb3b,的,de,0.62,0.70
0cb85ef8d996ba7e94a24f649f57bb3b,的,de,8.46,8.60
0cb85ef8d996ba7e94a24f649f57bb3b,的,de,11.06,11.26
0cb85ef8d996ba7e94a24f649f57bb3b,的,de,13.04,13.12
6448b8762329a9bc6da7368621617afb,的,de,1.76,1.86
6448b8762329a9bc6da7368621617afb,的,de,9.79,9.89
6448b8762329a9bc6da7368621617afb,的,de,13.93,14.05
6448b8762329a9bc6da7368621617afb,的,de,16.19,16.29
6448b8762329a9bc6da7368621617afb,的,de,16.73,16.83
b595ca853236b9ad34c5ad13b9ce04cf,的,de,0.34,0.46
b595ca853236b9ad34c5ad13b9ce04cf,的,de,3.33,3.45
5664ffbd1cd1c521819c61b473954b84,的,de,1.66,1.74
ddb5554d191ceefaca21d0a8f72816ae,的,de,4.08,4.46
15fae42b8ac0e51ac7692e27f79452d3,的,de,1.00,1.08
15fae42b8ac0e51ac7692e27f79452d3,的,de,1.74,1.80
2a965b3c3713a00bfe3b034e10ed338d,的,de,7.89,7.98
883ac811a2e2c9abbeb9b5c3dd0e03ef,的,de,2.76,2.96
883ac811a2e2c9abbeb9b5c3dd0e03ef,的,de,4.32,4.44
9b9696f1fd76749acdc506e4a95847d0,的,de,2.56,2.64
9b9696f1fd76749acdc506e4a95847d0,的,de,4.68,4.78
5da9461555623638da8a800f168b7093,的,de,0.08,0.18
36051aceb0671241e083148afa75dca5,的,de,3.12,3.20
d60cbfc8ead4f4968845bb438cede442,的,de,3.04,3.18
0359379487b060c7b4145d6d9032c54a,的,de,2.82,2.92
0359379487b060c7b4145d6d9032c54a,的,de,3.68,3.76
5eea098e0932894a99eb5006e95f655a,的,de,1.04,1.59
5eea098e0932894a99eb5006e95f655a,的,de,2.12,2.26
987206a39e9ac804d3ae09d4fc82dc3b,的,de,4.87,5.03
cdb8d6ef94392aa9fe474a4cfe7cec57,的,de,0.44,0.52
cdb8d6ef94392aa9fe474a4cfe7cec57,的,de,2.30,2.40
cdb8d6ef94392aa9fe474a4cfe7cec57,的,de,6.20,6.28
cdb8d6ef94392aa9fe474a4cfe7cec57,的,de,6.92,7.00
cdb8d6ef94392aa9fe474a4cfe7cec57,的,de,10.20,10.42
cdb8d6ef94392aa9fe474a4cfe7cec57,的,de,11.32,11.42
213e6e207958d5aa22085304bb54a9d3,的,de,1.54,1.62
213e6e207958d5aa22085304bb54a9d3,的,de,3.08,3.46
213e6e207958d5aa22085304bb54a9d3,的,de,3.98,4.12
02f557a0e6fda5a57b642d7f3e03b272,的,de,7.45,7.57
6689f166fec68e394fbcd72ee7524dde,的,de,1.90,1.98
6689f166fec68e394fbcd72ee7524dde,的,de,5.40,5.50
1b03e9c1c3d1c3dd9c1cb8c3d790f8d0,的,de,1.18,1.30
a20531c5b7c86ef661c446508227c7aa,的,de,6.06,6.22
1226b612f77dfa6869813be201caba76,的,de,3.89,3.98
1226b612f77dfa6869813be201caba76,的,de,6.46,6.58
1226b612f77dfa6869813be201caba76,的,de,7.96,8.05
03da2300739ec3b941f3e3d15bbad44a,的,de,2.46,2.56
0547872ba19e86c87b546d3761b2e8c9,的,de,3.03,3.46
6a64c8c2d2262ff7903b524b0d389bb1,的,de,1.48,1.78
9b3934bd3eff6a7968ccf7a4e65b5d4f,的,de,1.70,1.80
712967d3521444d84010d291eb108bb2,的,de,4.16,4.26
4186649ef15d07af6bb741384984a089,的,de,3.67,3.77
332746ad0e361f52c5026d75315b8f0d,的,de,1.14,1.40
0bc7dc936312395b39f4729ad20e2b71,的,de,0.74,0.80
489e2384e4e078d6f838302d69bae2e2,的,de,0.30,0.42
489e2384e4e078d6f838302d69bae2e2,的,de,2.40,2.48
489e2384e4e078d6f838302d69bae2e2,的,de,14.22,14.38
b2a30b80535917e5790a2ae74e75796d,的,de,9.28,9.40
6cc1dcc3ce3bd9c736c2132e313c6c94,的,de,0.94,1.02
6cc1dcc3ce3bd9c736c2132e313c6c94,的,de,2.20,2.30
4fb35cab327257954ca463a916eb8804,的,de,0.94,1.08
e571654bacf132c84c4904716ba2dbee,的,de,7.58,7.82
e571654bacf132c84c4904716ba2dbee,的,de,9.32,9.42
4844fc2819c9d785d99670cde62a02f9,的,de,6.50,6.72
0156ed9d35fc2342970dc24458784ff3,的,de,1.88,1.97
155624f5ccdc6272c150bf583fd66ea0,的,de,1.92,2.00
155624f5ccdc6272c150bf583fd66ea0,的,de,5.70,5.98
155624f5ccdc6272c150bf583fd66ea0,的,de,8.98,9.06
155624f5ccdc6272c150bf583fd66ea0,的,de,14.12,14.20
155624f5ccdc6272c150bf583fd66ea0,的,de,15.20,15.28
155624f5ccdc6272c150bf583fd66ea0,的,de,17.44,17.54
d57b02edbca31ee6e7ea8e73eb590623,的,de,4.43,4.66
f45e18cbf8d6c4c7b262154565c53510,的,de,1.40,1.79
9db446e789431de0f4c7f9aaecdae207,的,de,2.20,2.30
9db446e789431de0f4c7f9aaecdae207,的,de,5.08,5.24
a422fd3f5fb9794e8536ca8bdaccfe61,的,de,0.30,0.46
09370611b8e3dfa7b793c7c307232e1d,的,de,3.32,3.40
0fe74a90e6d7dffb54e4cafba1f393fe,的,de,5.95,6.04
fadb85bd740895e95b84e00d4e7b701f,的,de,7.58,7.68
2a1c309fdfbdd403362cf02163bffdfc,的,de,11.60,11.72
91c53d03534078a43e874ee6dbd581ae,的,de,3.86,3.94
162b36b2c89fd72261eff51a36f04246,的,de,0.52,0.82
e0c35e49e6a2e5da5bb4a0f971e2f44d,的,de,6.38,6.54
e0c35e49e6a2e5da5bb4a0f971e2f44d,的,de,17.14,17.24
99ca3803d9c6d52ac2af36c49acf964e,的,de,4.00,4.10
4005187f8c7fec0747f90a6f77abc837,的,de,1.80,1.90
4005187f8c7fec0747f90a6f77abc837,的,de,6.28,6.36
4005187f8c7fec0747f90a6f77abc837,的,de,9.72,9.80
4005187f8c7fec0747f90a6f77abc837,的,de,10.76,10.82
4005187f8c7fec0747f90a6f77abc837,的,de,13.54,13.64
190cc6419427439fdad41a8d0b7d20ca,的,de,4.50,4.64
190cc6419427439fdad41a8d0b7d20ca,的,de,5.98,6.20
4b426c2eb118cac0aa84da247efb1945,的,de,2.02,2.12
603d1db6e0d29af81c4deefb9d25aa9f,的,de,3.04,3.20
56dbbd9d372c3f69ec534319ff657685,的,de,1.43,1.52
367298695025462b77af297ece997913,的,de,1.06,1.18
260015a8ebf757aa217723cdeb523da6,的,de,5.10,5.20
69c178d1a4d247cd034f9727bd202785,的,de,4.97,5.07
0d63a0eb68619b58cdd7eaf08eaf4a2d,的,de,8.19,8.41
42709a59805e9bec4d11871de2649cbd,的,de,4.16,4.25
42709a59805e9bec4d11871de2649cbd,的,de,14.28,14.36
42709a59805e9bec4d11871de2649cbd,的,de,15.38,15.46
d3ea276ea5611ec6aa17e82923b9e29a,的,de,4.54,4.64
d3ea276ea5611ec6aa17e82923b9e29a,的,de,6.10,6.18
d3ea276ea5611ec6aa17e82923b9e29a,的,de,14.04,14.16
9de97a1e5c11a2a3116e74cb208e1c73,的,de,0.66,0.76
9de97a1e5c11a2a3116e74cb208e1c73,的,de,2.40,2.48
9de97a1e5c11a2a3116e74cb208e1c73,的,de,3.60,3.66
e4abb9dae356f84e493872574f9c6d2a,的,de,2.08,2.26
e4abb9dae356f84e493872574f9c6d2a,的,de,4.52,4.66
e72ec6f9936e0719b19d81a7ce97c43f,的,de,3.90,4.25
56879e346820ffc0d865dec8606f05ea,的,de,0.73,1.09
56879e346820ffc0d865dec8606f05ea,的,de,2.12,2.24
56879e346820ffc0d865dec8606f05ea,的,de,4.77,5.03
3f3fe366425cf3b1277f7cc5ff9cfc07,的,de,3.14,3.20
ab9d0d3927685afb84d94acf1db0df29,的,de,3.70,3.78
6a3b86c2ee92d15cc0d378993d73fdc3,的,de,4.36,4.46
abb936c7983bb920f576ad3cfad9241b,的,de,3.08,3.45
082695a35628d3d146ab3918cd98ff25,的,de,2.39,2.77
082695a35628d3d146ab3918cd98ff25,的,de,3.76,4.00
082695a35628d3d146ab3918cd98ff25,的,de,4.74,5.15
4351571246176576d75459bc73d5034e,的,de,4.49,4.61
213443c0e19167009c14340b62b7f70f,的,de,3.62,4.04
6e2c82a6cd46f1d691c03c4255e17006,的,de,2.02,2.09
9a1a4a415cc220a21027c549e1a83ef7,的,de,1.96,2.06
9a1a4a415cc220a21027c549e1a83ef7,的,de,4.18,4.28
9a1a4a415cc220a21027c549e1a83ef7,的,de,6.70,6.78
9a1a4a415cc220a21027c549e1a83ef7,的,de,9.36,9.44
ee2821017b4f8fcd81b350783ee7c737,的,de,1.38,1.46
aac2a45e5070623f6ab328309ec44933,的,de,2.18,2.26
d3d7068e93080d7988d9efa491f37f3e,的,de,0.84,0.92
3df490bace33e2ea906d3b8edf0d7f28,的,de,5.36,5.50
458b63757994fa7ef873d3558c3a27fe,的,de,15.28,15.42
bf29b7463345cd8d9ff0e3a5114c0e7b,的,de,0.22,0.32
f1e8457c13bee2f92cfa5b78463d3b73,的,de,1.14,1.49
f1e8457c13bee2f92cfa5b78463d3b73,的,de,4.14,4.22
f1e8457c13bee2f92cfa5b78463d3b73,的,de,6.76,6.88
f63f6835dc1d953c6906f49df457ac1b,的,de,2.07,2.14
f63f6835dc1d953c6906f49df457ac1b,的,de,4.70,5.05
6cf662e7c810486047bfdc343a1596c9,的,de,0.38,0.50
51d0f2cf3b754c4602e9beb5f74cb023,的,de,2.74,2.84
f92c91052416c9be54b927eeff112aed,的,de,3.30,3.40
382c2b8ef49b263c19fd5b21af61871b,的,de,2.52,2.77
5c2aeebf1f1cb459156a10bfb69b0228,的,de,0.50,0.89
5c2aeebf1f1cb459156a10bfb69b0228,的,de,3.19,3.35
20c68a4cc07c1837d83a7e258c820e2d,的,de,3.46,3.56
7b11b25c2fcedc6969bf6649c7a9cf9f,的,de,1.30,1.44
dc74f78a3aee009efb80e6c37b9447b2,的,de,1.38,1.55
9ba8f87067e2d212a60a7267cafa2fdd,的,de,9.71,9.78
22750b107068702a422ec4c570b876c4,的,de,4.54,4.66
7f08d69e99cca3d4fcd60e051a4b74ff,的,de,2.12,2.23
51c190ae77a8379b41639c417ca3084e,的,de,0.66,0.80
a1c2fdd2a2af56fa2acac5b8296ecdcd,的,de,15.69,15.79
95f7baf5e3284e224d1dcd297e5f25b8,的,de,2.84,2.91
95f7baf5e3284e224d1dcd297e5f25b8,的,de,8.26,8.42
95f7baf5e3284e224d1dcd297e5f25b8,的,de,11.24,11.50
65db8d395ebfa41112c7fb4ea7f65fbd,的,de,3.28,3.49
1012923f026a461c90193ba5f24ed39d,的,de,0.62,0.82
ce82e583a6ca155a03def9d6e8143c79,的,de,1.14,1.36
f046306269718662e93cd64f8bc54ad3,的,de,10.32,10.42
7f14099a86f48a15dc165de9ae9983ef,的,de,2.38,2.46
7f14099a86f48a15dc165de9ae9983ef,的,de,7.99,8.07
b45a4cc1876bc477a13a2a80886d208a,的,de,4.56,4.68
b45a4cc1876bc477a13a2a80886d208a,的,de,7.50,7.58
b45a4cc1876bc477a13a2a80886d208a,的,de,9.77,9.85
e4ff77e4ae0e20461e8ffe4f219ac482,的,de,2.26,2.36
00be84360bf211509d09c906ed45da65,的,de,0.24,0.38
6f241316ab54f82418af1d2f88d67def,的,de,2.08,2.18
bcbca197d9a6ffac5d449b0081c4f70a,的,de,15.40,15.54
a04bba842d8347baea683c3fb1b870df,的,de,0.82,0.92
a04bba842d8347baea683c3fb1b870df,的,de,5.16,5.31
06254121d487a2bf08d0204c0791ea6b,的,de,2.69,2.81
77e947472d75e6c5ec8358ebba2b90ef,的,de,3.74,3.85
7a1839e0818fbb71c4d1539b48b59495,的,de,1.24,1.36
7a1839e0818fbb71c4d1539b48b59495,的,de,1.86,1.98
7a1839e0818fbb71c4d1539b48b59495,的,de,5.49,5.61
b53d90425b1f018d7945ef55449053ab,的,de,5.87,5.96
edd1bf59b64122783346f3e9638c9f88,的,de,1.78,1.90
edd1bf59b64122783346f3e9638c9f88,的,de,3.10,3.20
5e8e6de930e0cb253f7e13edcccb702e,的,de,5.68,5.76
5e8e6de930e0cb253f7e13edcccb702e,的,de,7.20,7.51
7b9cd057dd4ec9d3e62c1bbfe3891477,的,de,4.42,4.50
70895d61627f41b7e6171f1eb20fb640,的,de,4.44,4.60
70895d61627f41b7e6171f1eb20fb640,的,de,8.57,8.63
70895d61627f41b7e6171f1eb20fb640,的,de,10.03,10.15
0195db4ce76a9108885792da8e526c89,的,de,16.82,16.90
a35984fcfb505eef2448d966166d46fe,的,de,0.46,0.58
d072cfa8fc74c21871bb7b42c1f9e15f,的,de,0.06,0.13
d072cfa8fc74c21871bb7b42c1f9e15f,的,de,1.12,1.20
d072cfa8fc74c21871bb7b42c1f9e15f,的,de,2.16,2.24
d072cfa8fc74c21871bb7b42c1f9e15f,的,de,3.38,3.69
dc13f11121e94ccd45b141ef1118c5a8,的,de,3.24,3.68
97402a4a0fbad0afc2abf02b1789cb89,的,de,2.84,2.96
97402a4a0fbad0afc2abf02b1789cb89,的,de,4.95,5.04
ea58953820217eb8859904e78e30700e,的,de,4.91,5.25
7c727b6feef5d680cc026ce59f87b426,的,de,4.88,4.98
